Country Name,Latitud,Longitud,cluster
Zimbabwe,-19.098,30.047,2
Zambia,-15.13,25.268,2
Yemen,15.569,47.793,3
Vietnam,21.75,105.373,2
Venezuela,6.983,-64.588,2
Uruguay,-32.948,-56.249,2
United States,40.0792,-98.8164,4
United Kingdom,52.289,-1.259,5
United Arab Emirates,23.9299,53.9031,4
Ukraine,49.364,32.132,1
Uganda,1.9392,32.7415,4
Turkey,39.144,34.188,2
Tunisia,35.594,9.421,1
Trinidad and Tobago,10.4435,-61.2604,1
Togo,7.7,1.106,2
Timor-Leste,-8.856,125.556,5
Thailand,15.688,100.845,2
Tanzania,-5.651,34.146,2
Tajikistan,38.367,72.597,2
Switzerland,46.7794,8.0329,4
Sweden,66.2188,19,5
Swaziland,-26.5203,31.4607,3
Suriname,4.248,-55.848,4
Sudan,15.739,29.533,1
Sri Lanka,7.3,80.727,4
Spain,40.617,-3.388,1
South Africa,-31.7,23.441,1
Slovenia,46.037,14.534,5
Singapore,1.3389,103.8297,4
Sierra Leone,8.677,-11.779,2
Serbia,44.021,20.699,1
Senegal,15.044,-15.081,2
Saudi Arabia,24.191,44.32,4
Rwanda,-1.887,29.904,2
Russia,64.736,104.062,2
Romania,45.933,25.119,4
Qatar,25.3174,51.1522,4
Portugal,40.957,-7.9373,1
Poland,52.442,19.72,5
Philippines,17.181,121.256,2
Peru,-12.664,-72.98,2
Paraguay,-23.266,-58.409,2
Panama,8.348,-81.005,2
Pakistan,28.1854,66.6429,2
Oman,19.85,56.25,4
Norway,61.3701,9.3031,5
Nigeria,9.3417,7.678,4
Niger,16.996,9.915,2
Nicaragua,12.692,-85.03,2
New Zealand,-42.558,172.377,4
Netherlands,52.1704,5.0102,5
Nepal,28.2114,83.5608,2
Namibia,-21.276,17.219,3
Mozambique,-13.852,38.042,2
Morocco,31.129,-7.355,2
Montenegro,42.857,19.096,1
Mongolia,46.516,102.564,2
Moldova,47.524,28.444,2
Mexico,22.925,-101.68,2
Mauritius,-20.2529,57.5902,4
Mauritania,19.413,-10.6528,3
Malta,35.9024,14.4137,4
Mali,18.211,-2.209,2
Malaysia,4.416,102.099,4
Malawi,-13.2731,33.7428,3
Madagascar,-19.615,46.645,2
Macedonia,41.636,21.676,1
Luxembourg,49.671,6.113,5
Lithuania,55.342,24.23,4
Libya,27.24,17.571,3
Liberia,6.51,-9.33,2
Lesotho,-29.446,28.371,3
Lebanon,34.161,36.021,1
Latvia,57.017,25.0173,4
Kyrgyz Republic,41.741,75.043,3
Kuwait,29.3169,47.4272,4
Kenya,0.806,38.166,2
Kazakhstan,48.866,69.772,4
Jordan,30.681,36.279,1
Japan,35.962,137.855,4
Jamaica,18.163,-77.477,1
Italy,44.3713,11.1084,5
Israel,30.992,34.834,5
Ireland,53.214,-7.588,4
Iraq,33.545,43.278,3
Iran,33.408,54.0418,1
Indonesia,-0.739,114.045,2
India,22.741,78.236,2
Iceland,64.826,-18.417,4
Hungary,47.174,19.618,5
Honduras,14.881,-87.123,2
Haiti,19.3175,-72.4205,2
Guyana,5.17,-58.939,1
Guinea-Bissau,12.191,-14.475,1
Guinea,10.599,-10.907,3
Guatemala,15.124,-90.711,4
Greece,39.787,21.617,1
Ghana,7.258,-1.062,2
Germany,51.3819,9.9877,5
Georgia,42.05,43.576,4
Gambia,13.499,-14.641,3
Gabon,-0.406,11.914,1
France,46.656,2.543,1
Finland,62.716,26.192,5
Fiji,-17.7941,177.9783,1
Ethiopia,8.435,38.786,2
Estonia,58.777,25.977,5
El Salvador,13.848,-89.229,4
Egypt,26.16,28.742,1
Ecuador,-1.151,-78.308,2
Denmark,56.113,9.096,5
Cyprus,34.894,32.928,1
Croatia,45.754,16.385,5
Costa Rica,10.126,-84.075,2
Colombia,3.794,-73.606,4
China,35.1753,99.3877,2
Chile,-23.176,-69.201,4
Chad,15.981,18.781,2
Canada,59.2067,-111.1937,5
Cameroon,4.4,12.131,2
Cambodia,12.69,104.444,2
Burundi,-3.333,29.749,2
Burkina Faso,12.673,-1.226,2
Bulgaria,42.625,24.521,4
Brunei Darussalam,4.452,114.557,5
Brazil,-11.694,-48.978,2
Botswana,-22.126,23.662,3
Bosnia and Herzegovina,44.342,17.804,1
Bolivia,-16.71,-65.183,2
Bhutan,27.5342,90.3002,2
Benin,10.478,2.274,2
Belize,17.108,-88.744,1
Belgium,50.6745,4.4588,5
Belarus,53.3292,27.9492,4
Barbados,13.1898,-59.559,1
Bangladesh,24.598,90.1963,2
Bahrain,26.025,50.5534,4
Bahamas,24.7032,-78.0455,1
Azerbaijan,40.46,47.883,4
Austria,47.65,14.705,5
Australia,-24.578,133.582,4
Armenia,40.56,44.449,3
Argentina,-33.166,-64.31,2
Angola,-12.836,17.808,2
Algeria,28.6045,2.64,2
Albania,40.654,20.076,1
