Currency;City;3 bedroom avg rent;2 bedroom avg rent;1 bedroom avg rent;house non detached avg rent;house detached avg rent
EUR;Vienna;1500;1130;880;1800;3050
EUR;Brussels;1250;980;750;1350;1800
BGN;Sofia;1850;1000;700;-;2350
EUR;Sofia;940;510;360;-;1200
EUR;Nicosia;740;590;480;1030;1600
CZK;Prague;34300;25500;17400;40600;60500
EUR;Prague;1300;980;670;1500;2350
DKK;Copenhagen;13900;9350;6150;13700;19700
EUR;Copenhagen;1850;1250;830;1850;2650
EEK;Tallinn;10200;8000;5900;11200;16000
EUR;Tallinn;650;510;380;720;1000
EUR;Helsinki;2050;1300;1000;1700;2800
EUR;Paris;2350;1750;980;2200;3150
EUR;Lyon;1100;870;600;1100;1600
EUR;Berlin;1100;840;620;1250;1950
EUR;Bonn;1000;780;610;1150;1550
EUR;Hamburg;1500;1070;770;1600;2400
EUR;Karlsruhe;920;720;580;1100;1500
EUR;Munich;1650;1220;920;1750;2500
EUR;Athens;1600;1050;790;1950;3000
HUF;Budapest;424000;280000;162500;590000;964000
EUR;Budapest;1550;1000;590;2150;3500
EUR;Dublin;1550;1300;1050;1550;1900
EUR;Rome;1950;1500;1150;1750;2100
EUR;Varese;900;710;560;1400;2000
LVL;Riga;580;460;330;720;990
EUR;Riga;830;660;470;1030;1400
LTL;Vilnius;2400;2000;1400;3300;5200
EUR;Vilnius;700;580;410;960;1500
EUR;Luxembourg;1700;1300;1000;2150;2900
EUR;Valetta;820;640;460;1100;2200
EUR;TheHague;1750;1300;970;1850;-
PLN;Warsaw;6400;4300;2850;6650;11700
EUR;Warsaw;1400;960;630;1500;2600
EUR;Lisbon;1050;760;600;1400;1850
RON;Bucharest;5700;4200;2400;-;8850
EUR;Bucharest;1350;1000;570;-;2100
EUR;Bratislava;1100;810;650;1200;1700
EUR;Ljubljana;1300;950;590;1400;2000
EUR;Madrid;1600;1150;880;2100;2900
SEK;Stockholm;19900;15500;10800;18900;25300
EUR;Stockholm;1850;1450;990;1750;2350
GBP;London;2400;1750;1350;2750;3300
EUR;London;2850;2050;1600;3250;3900
GBP;Oxford;1080;880;710;1050;1400
EUR;Oxford;1250;1050;840;1250;1650
GBP;Reading;1080;870;660;940;1250
EUR;Reading;1250;1030;780;1100;1450
HRK;Zagreb;10550;7300;5400;11300;21500
EUR;Zagreb;1450;1000;740;1550;2950
ISK;Reykjavik;129000;106500;80000;167500;217500
EUR;Reykjavik;720;590;450;940;1200
NOK;Oslo;18400;14200;10500;20100;27100
EUR;Oslo;2050;1550;1150;2250;3000
RSD;Belgrade;149550;102800;68250;163550;294400
EUR;Belgrade;1600;1100;730;1750;3150
CHF;Bern;2550;2000;1500;2750;3900
EUR;Bern;1650;1300;980;1800;2550
CHF;Geneva;3750;2850;2000;5050;6350
EUR;Geneva;2450;1850;1300;3300;4150
TRY;Ankara;1000;770;720;1350;2550
EUR;Ankara;460;360;330;620;1200
